StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,ic,att_1,att_2,comp_1,comp_2,auto_1,resp_software1_10,resp_human1_10,liable_firm1_1,liable_human1_1,liab_text1,comp_3,co_1,resp_software2_10,resp_human2_10,liab_firm2_1,liab_human2_1,liab_text2,comp_4,gender,gender_4_TEXT,ethnicity,ethnicity_6_TEXT,age,education,education_8_TEXT,license,ai_knowledge_1,workerID,hitID,assignmentId,FL_12_DO,av_frame1_acc_DO,av_frame2_acc_DO
8/14/23 17:17,8/14/23 17:20,0,130.44.143.14,100,165,1,8/14/23 17:20,R_3qOvNDpQMJzeA43,,,,,42.3797,-71.1034,anonymous,EN,1,2,2,2,4,4,92,24,79,22,The company is responsible because the car drove itself.,2,,,,,,,,1,,3,,30,4,,1,11,ASF5V3K4IFP4K,3PCPFX4U40MGUEVGCXHZ8IDMVN8QFQ,3VNXK88KKDE2KWXDLCGITTMCIXS9V5,FL_35,frame1_info3|resp_human1|liable_firm1|resp_software1|liable_human1|liab_text1,
8/14/23 17:17,8/14/23 17:21,0,69.140.203.68,100,201,1,8/14/23 17:21,R_2ahmu4rj1pRFrk9,,,,,39.3248,-76.6062,anonymous,EN,1,2,2,2,4,,,,,,,,4,56,65,57,62,The human driver is most responsible for the accident because he took his eyes off the road to look at his phone.,1,1,,3,,27,1,,1,40,AXPZAP62ZYWP8,3M47JKRKCXXE5H29PAXVSLF98IK86V,3PIWWX1FJK2IZDASQZTCFZPLJFXJJP,FL_36,,frame2_info3|resp_human2|liab_firm2|liab_human2|resp_software2|liab_text2
8/14/23 17:17,8/14/23 17:21,0,99.75.53.174,100,196,1,8/14/23 17:21,R_Uh9sAHXpLxq3oad,,,,,42.0003,-88.1422,anonymous,EN,1,2,2,2,4,,,,,,,,3,60,80,90,80,Aeon is more responsible since they developed the Copilot.,1,1,,2,,29,3,,1,25,A17TKHT8FEVH0R,3M47JKRKCXXE5H29PAXVSLF98IK86V,3E337GFOLA44R1BCXR01BTEM07LGNM,FL_36,,frame2_info3|liab_firm2|liab_human2|resp_software2|resp_human2|liab_text2
8/14/23 17:18,8/14/23 17:21,0,73.123.199.52,100,168,1,8/14/23 17:21,R_87UA5BfYqCS6P7j,,,,,42.4609,-71.0074,anonymous,EN,1,2,2,2,4,6,0,100,0,100,the human should have been paying attention. they are the ones responsible for driving and their eyes were off the road.,2,,,,,,,,1,,2,,27,1,,1,10,A5P12YJP805RG,356TQKY9XFTX9HGE8K2NYZF53T487U,3PMBY0YE28Z6LNRDUVLD31YNXQC9C6,FL_35,frame1_info3|liable_human1|resp_human1|resp_software1|liable_firm1|liab_text1,
8/14/23 17:18,8/14/23 17:21,0,73.149.186.215,100,165,1,8/14/23 17:21,R_pMHsyiXttVx5GlX,,,,,42.3649,-71.0987,anonymous,EN,1,2,2,2,4,,,,,,,,6,84,42,94,65,Aeon and the company are supposed to notice Stop signs and have no excuse for not doing so.,2,1,,3,,53,6,,1,28,A7SW6SVNJ5V6O,32LAQ1JNT9LI5CKYOQ6TZNPCPHMUT7,3OHYZ19UGD1LZVYLC684UW3OSMDOAX,FL_36,,frame2_info3|resp_software2|resp_human2|liab_human2|liab_firm2|liab_text2
8/14/23 17:17,8/14/23 17:22,0,45.42.190.204,100,258,1,8/14/23 17:22,R_2DN2JftcZVssejY,,,,,38.8865,-77.0911,anonymous,EN,1,2,2,2,4,,,,,,,,5,56,60,73,83,"Autonomous vehicles are orders of magnitude safer in preventing many types of accidents that have to do with human driver error — for instance, simply rear-ending another vehicle because the driver wasn't paying attention. These types of accidents will practically never happen with autonomous cars.",1,2,,3,,27,5,,1,68,A1OFFNJXVHVI64,356TQKY9XFTX9HGE8K2NYZF53T487U,39U1BHVTDMN1S248Z8FT1YV5LK23T2,FL_36,,frame2_info3|resp_human2|resp_software2|liab_firm2|liab_human2|liab_text2
8/14/23 17:17,8/14/23 17:22,0,216.240.95.219,100,261,1,8/14/23 17:22,R_1K0GUlTk5YyeQin,,,,,37.4273,-88.3432,anonymous,EN,1,2,2,2,4,,,,,,,,4,0,100,0,100,The human driver is liable because as the human you are still the pilot and the machine/AI is just a copilot. Fault goes to the operator/pilot.,1,1,,3,,36,4,,1,50,AD15OW944ZV20,3T8DUCXY0N2KLKWVQFB23R2YCWCT9F,30OG32W0SV767NFLRWADBQTANR6EN3,FL_36,,frame2_info3|resp_human2|liab_firm2|liab_human2|resp_software2|liab_text2
8/14/23 17:17,8/14/23 17:22,0,104.182.73.53,100,320,1,8/14/23 17:22,R_2rvX9HU0dg7Ingn,,,,,38.7987,-90.5034,anonymous,EN,1,2,2,2,4,4,9,90,18,90,"until this technology is proven, over years, with data, the responsibility is still the human's",2,,,,,,,,2,,3,,64,4,,1,66,APVZGZM1RA3AZ,3XWUWJ18TLMX5PZNOVW34JBE8VTUUY,336KAV9KYRO8O67J5EONQ5ISU8JY2A,FL_35,frame1_info3|liable_firm1|resp_software1|liable_human1|resp_human1|liab_text1,
8/14/23 17:18,8/14/23 17:22,0,24.194.112.211,100,266,1,8/14/23 17:22,R_U9ABMSh5a0hwWTT,,,,,43.0642,-74.334,anonymous,EN,1,2,2,2,4,,,,,,,,4,50,50,50,50,I think they are equally liable for the accident since both of them failed to notice the stop sign.,1,1,,3,,29,4,,1,0,A2NAKIXS3DVGAA,3PCPFX4U40MGUEVGCXHZ8IDMVN8QFQ,3KYQYYSHYW3JX21XWGZ6KXBUDPAODZ,FL_36,,frame2_info3|resp_software2|resp_human2|liab_firm2|liab_human2|liab_text2
8/14/23 17:18,8/14/23 17:22,0,76.27.236.118,100,255,1,8/14/23 17:22,R_0qSaWzF2BhyLG0h,,,,,44.6279,-123.0592,anonymous,EN,1,2,2,2,4,5,95,40,98,35,"The system is called ""autopilot."" it should be able to see and stop at a stop sign. It is a failure if it doesn't, so the company is most responsible and liable.",2,,,,,,,,1,,3,,36,4,,1,60,A320QA9HJFUOZO,3XWUWJ18TLMX5PZNOVW34JBE8VTUUY,3Y9N9SS8LZ7UBD8BDIFEWUDJIYE3DJ,FL_35,frame1_info3|liable_human1|resp_software1|resp_human1|liable_firm1|liab_text1,
8/14/23 17:18,8/14/23 17:22,0,68.4.166.206,100,254,1,8/14/23 17:22,R_3pfooWK0lB6pnSZ,,,,,33.4339,-117.6221,anonymous,EN,1,2,2,2,4,2,0,100,0,100,The driver took his eyes off the road. Autopilot is still a new technology that needs to be improved but I think the driver is completely responsible.,2,,,,,,,,1,,2,,33,1,,1,50,ALYR5CI2SM2JC,3UL5XDRDNCFIMD2VKRNQ0F19CN985F,3VSOLARPKC5I8NVU12ACAYUTRDZ392,FL_35,frame1_info3|resp_software1|liable_human1|resp_human1|liable_firm1|liab_text1,
8/14/23 17:17,8/14/23 17:22,0,63.135.161.144,100,317,1,8/14/23 17:22,R_6lM8MoNl5rGXPDr,,,,,40.7123,-74.0068,anonymous,EN,1,2,2,2,4,6,83,70,82,70,I think both are responsible since the car was on autopilot but it does not mean one should assume they are not in the car,2,,,,,,,,2,,1,,55,4,,1,71,A2QP3HJBFY8MB5,35O6H0UNLSC76UYEBVKHP5ANSY35JW,3S06PH7KSS0Y1AUWQE1V81YMKE01DP,FL_35,frame1_info3|liable_firm1|resp_human1|resp_software1|liable_human1|liab_text1,
8/14/23 17:17,8/14/23 17:22,0,24.120.111.142,100,291,1,8/14/23 17:22,R_2fvTQaBlaD8IsEx,,,,,36.102,-115.1447,anonymous,EN,1,2,2,2,4,,,,,,,,3,50,50,50,50,"I feel that both are equally responsible. The person thought that the car was in control, but at the same time, shouldn't have been texting and driving.",1,2,,3,,42,3,,1,51,A1YFVXP4A1CXSF,35O6H0UNLSC76UYEBVKHP5ANSY35JW,3T111IHZ5FMARPGWCSB8SWX9XRF9RC,FL_36,,frame2_info3|liab_firm2|resp_human2|liab_human2|resp_software2|liab_text2
8/14/23 17:17,8/14/23 17:23,0,66.66.148.164,100,339,1,8/14/23 17:23,R_3ipQScU8pm8fI5b,,,,,43.1661,-77.5555,anonymous,EN,1,2,2,1,4,,,,,,,,2,20,100,30,100,The human driver is responsible for the automobile on the road. If the Copilot service doesn't function as expected and it causes damage to another human or property then he is still responsible.,1,1,,1,,39,3,,1,10,A16335MOISDG1F,3VZYA8PITOU04OXSPNAB70VRTPX05K,32KTQ2V7REBJU9347KFR6X3ZR4G9MO,FL_36,,frame2_info3|resp_human2|liab_firm2|resp_software2|liab_human2|liab_text2
8/14/23 17:17,8/14/23 17:23,0,71.183.150.15,100,342,1,8/14/23 17:23,R_zZO8KNblMIQwOLn,,,,,40.7033,-73.8038,anonymous,EN,1,2,2,2,4,5,61,45,74,45,"the autopilot, in theory, should not require the driver to stop an accident",2,,,,,,,,1,,1,,44,3,,1,29,A1SN7EOZUW5VP3,3UL5XDRDNCFIMD2VKRNQ0F19CN985F,3Q8GYXHFEQYNK0P1R58WRLTLBUTC5I,FL_35,frame1_info3|resp_software1|liable_firm1|liable_human1|resp_human1|liab_text1,
8/14/23 17:19,8/14/23 17:23,0,68.64.118.38,100,248,1,8/14/23 17:23,R_1pKD2KkSN7wW4YE,,,,,37.3477,-82.8787,anonymous,EN,1,2,2,2,4,,,,,,,,4,60,90,40,90,"I think the human is responsible. But, there are still some questions based on what the company actually says their automated vehicle can do, and if the driver had reason to believe the AV would stop. ",1,1,,3,,33,2,,1,60,A26K8OELA8ZDI9,3PCPFX4U40MGUEVGCXHZ8IDMVN8QFQ,3IXEICO793F0PLRQIADR817PVB3T6X,FL_36,,frame2_info3|resp_human2|liab_human2|resp_software2|liab_firm2|liab_text2
8/14/23 17:21,8/14/23 17:23,0,72.208.205.25,100,152,1,8/14/23 17:23,R_3nNsXW4NxTJV3aG,,,,,32.2123,-110.879,anonymous,EN,1,2,2,2,4,5,12,89,9,100,"As far as I know, the AI didn't malfunction, so he probably needed to be paying more attention.",3,,,,,,,,1,,3,,40,4,,1,93,A12J4IRF5Z06BT,372AGES0I41X6111P6CLJFNYVE6XRP,323Q6SJS8JC635T6J9Z6OOHEDGCFHD,FL_35,frame1_info3|liable_firm1|resp_human1|resp_software1|liable_human1|liab_text1,
8/14/23 17:18,8/14/23 17:24,0,72.195.207.133,100,365,1,8/14/23 17:24,R_vP18xLQpyF4AjOp,,,,,33.4475,-112.0866,anonymous,EN,1,2,2,2,4,,,,,,,,4,42,60,44,100,The Aeon car is not liable because it is not a fully autonomous vehicle.  ,1,1,,3,,40,4,,1,73,A1AFBUXRM3T18V,3UL5XDRDNCFIMD2VKRNQ0F19CN985F,3L2IS5HSFBENWJC7HWPIF8FD9F0NUT,FL_36,,frame2_info3|resp_software2|resp_human2|liab_human2|liab_firm2|liab_text2
8/14/23 17:20,8/14/23 17:24,0,63.230.163.78,100,277,1,8/14/23 17:24,R_1rj1wc5F01iD2K5,,,,,45.4804,-122.5891,anonymous,EN,1,2,2,2,4,,,,,,,,4,0,100,0,98,The driver was supposed to be paying attention.  Everyone knows that you are not supposed to be checking your phone while driving.,1,1,,3,,50,2,,1,38,A2IEWBVCH5DAKB,3XWUWJ18TLMX5PZNOVW34JBE8VTUUY,3S96KQ6I9N0ZAU65SXL5E7HHCXRTDQ,FL_36,,frame2_info3|resp_human2|liab_firm2|liab_human2|resp_software2|liab_text2
8/14/23 17:18,8/14/23 17:24,0,172.58.84.229,100,370,1,8/14/23 17:24,R_1kOyER8MWOwtJT3,,,,,45.0116,-93.0351,anonymous,EN,1,2,2,2,4,,,,,,,,4,80,20,80,20,"I think the company is more liable because they have marketed a self-driving car which is supposed to be reliable enough to keep passengers safe in all driving situations in which it has control. A human should always be paying attention in case something fails, but it is primarily the vehicle's responsibility.",1,2,,3,,47,3,,1,0,A3UJSDFJ9LBQ6Z,356TQKY9XFTX9HGE8K2NYZF53T487U,3G2UL9A02EADRNUJ57AQ35F76ED67Z,FL_36,,frame2_info3|resp_software2|resp_human2|liab_firm2|liab_human2|liab_text2
8/14/23 17:17,8/14/23 17:24,0,131.106.49.87,100,427,1,8/14/23 17:24,R_6kUTjCCozzH5HwJ,,,,,40.5995,-75.3763,anonymous,EN,1,2,2,2,4,5,91,10,80,20,"Since the autopilot was switched on, I would assume that the Aeon Autopilot would be in charge of looking out for lights, stop signs, traffic signals, etc.  Therefore, I would consider Aeon responsible that the system missed the stop sign and caused an accident.  Depending on what level of control the Autopilot system has, I would possibly change my mind.  I assumed the Autopilot was almost totally in control.",2,,,,,,,,2,,3,,42,5,,1,20,A1M9GVOP0L2IWA,372AGES0I41X6111P6CLJFNYVE6XRP,35GMH2SV3FDOP8FXSBAQQFTFD1BEOI,FL_35,frame1_info3|liable_human1|liable_firm1|resp_software1|resp_human1|liab_text1,
8/14/23 17:18,8/14/23 17:25,0,23.19.74.164,100,402,1,8/14/23 17:25,R_2EhPdlAK5ZpagGc,,,,,34.0544,-118.2441,anonymous,EN,1,2,2,2,4,6,100,61,86,64,Both the company and the human driver are liable but the company mostly because the vehicle was. on auto pilot and that's the purpose of auto pilot.,2,,,,,,,,2,,3,,29,4,,1,60,A16GI3E8SV3QXL,3XWUWJ18TLMX5PZNOVW34JBE8VTUUY,31LM9EDVOMOEI31D5XL48662SZ2JNT,FL_35,frame1_info3|resp_human1|resp_software1|liable_human1|liable_firm1|liab_text1,
